[2024-11-10 17:24:28,699: INFO: main: >>>>>> stage  Prepare base model started <<<<<<<]
[2024-11-10 17:24:28,701: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-10 17:24:28,702: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-10 17:24:28,702: INFO: common: created directory at: artifacts]
[2024-11-10 17:24:28,703: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-11-10 17:24:29,098: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2024-11-10 17:24:29,326: INFO: main: >>>>>> stage  Prepare base model completed <<<<<<<

x===========x]
[2024-11-10 17:24:29,327: INFO: main: *********************]
[2024-11-10 17:24:29,327: INFO: main: >>>>>> stage  Training started <<<<<<<]
[2024-11-10 17:24:29,329: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-10 17:24:29,330: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-10 17:24:29,331: INFO: common: created directory at: artifacts]
[2024-11-10 17:24:29,331: INFO: common: created directory at: artifacts\training]
[2024-11-10 17:25:07,151: INFO: main: >>>>>> stage  Data Ingestion stage started <<<<<<<]
[2024-11-10 17:25:07,153: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-10 17:25:07,162: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-10 17:25:07,162: INFO: common: created directory at: artifacts]
[2024-11-10 17:25:07,163: INFO: common: created directory at: artifacts/data_ingestion]
[2024-11-10 17:25:07,163: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1ba-F3UWw6CeFiWdr3rsQ6buCQJ0PGK5a/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-11-10 17:25:14,377: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1ba-F3UWw6CeFiWdr3rsQ6buCQJ0PGK5a/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-11-10 17:25:14,577: INFO: main: >>>>>> stage  Data Ingestion stage completed <<<<<<<

x===========x]
[2024-11-10 17:25:14,577: INFO: main: *********************]
[2024-11-10 17:25:14,577: INFO: main: >>>>>> stage  Prepare base model started <<<<<<<]
[2024-11-10 17:25:14,580: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-10 17:25:14,581: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-10 17:25:14,582: INFO: common: created directory at: artifacts]
[2024-11-10 17:25:14,582: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-11-10 17:25:15,013: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2024-11-10 17:25:15,267: INFO: main: >>>>>> stage  Prepare base model completed <<<<<<<

x===========x]
[2024-11-10 17:25:15,267: INFO: main: *********************]
[2024-11-10 17:25:15,267: INFO: main: >>>>>> stage  Training started <<<<<<<]
[2024-11-10 17:25:15,269: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-10 17:25:15,271: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-10 17:25:15,271: INFO: common: created directory at: artifacts]
[2024-11-10 17:25:15,272: INFO: common: created directory at: artifacts\training]
[2024-11-10 17:27:05,590: INFO: main: >>>>>> stage  Training completed <<<<<<<

x===========x]
